Experiment,Region,Threshold_σ2,Total_WMT,Heat,SeaIce,Other_FW
PI,Southern Ocean,36.625,8.109,16.564,1.296,-9.751
PI,Weddell Sea,36.625,3.957,9.183,-0.798,-4.428
PI,Ross Sea,36.625,-0.016,1.229,0.985,-2.230
PI,Adélie Land,36.625,4.168,6.152,1.109,-3.093
MH,Southern Ocean,36.625,7.682,15.706,1.664,-9.688
MH,Weddell Sea,36.625,3.591,8.402,-0.546,-4.265
MH,Ross Sea,36.625,0.164,1.099,1.322,-2.257
MH,Adélie Land,36.625,3.927,6.206,0.887,-3.166
LIG,Southern Ocean,36.625,6.815,17.372,-1.664,-8.892
LIG,Weddell Sea,36.625,2.414,7.444,-0.917,-4.112
LIG,Ross Sea,36.625,2.107,4.612,-0.714,-1.791
LIG,Adélie Land,36.625,2.294,5.316,-0.033,-2.989
LGM,Southern Ocean,37.625,11.341,3.797,15.959,-8.415
LGM,Weddell Sea,37.625,5.464,1.717,6.630,-2.882
LGM,Ross Sea,37.625,2.410,1.022,4.969,-3.581
LGM,Adélie Land,37.625,3.467,1.058,4.360,-1.951
MIS3,Southern Ocean,37.125,8.337,4.798,17.587,-14.048
MIS3,Weddell Sea,37.125,4.843,2.010,8.854,-6.021
MIS3,Ross Sea,37.125,1.540,1.062,5.406,-4.929
MIS3,Adélie Land,37.125,1.954,1.726,3.327,-3.099
